file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0018_0064_461759_to_463902,ཨ་ལེ་ད་ཡིན་པས་ཡིན་ནའང་ང་རང་ད།  ,a le da yin pas yin na'ang nga rang da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0064_461759_to_463902.wav,STT_NS,3,31,2.143,wav16k/STT_NS0018_0064_461759_to_463902.wav,ཨ་ལེ་། ད་བཡིན་པ་ཡིན་ན་ང་རང་ད་
STT_NS0018_0056_415251_to_421723,ད་གཅིག་གི་ཆ་ནས་ད་ཡང་མོ་ཊ་དེ་ཚོ་འཕྲོ་བརླག་འགྲོ་དེ་འདྲས་འདྲ་བོ་བྱས་ན་ཡང་ཉེན་ཁ་ཆེན་པོ་འདུག་ཨ། རེད་རེད་རེད། ཨེ་ནས་དེ་འདྲས་སོང་ཙང་ང་རང་འདྲ་བོ་ཡིན་ན་དམིགས་བསལ་གྱིས་གནམ་གྲུ།  ,da gcig gi cha nas da yang mo Ta de tsho 'phro brlag 'gro de 'dras 'dra bo byas na yang nyen kha chen po 'dug a/_red red red/_e nas de 'dras song tsang nga rang 'dra bo yin na dmigs bsal gyis gnam gru/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0056_415251_to_421723.wav,STT_NS,3,168,6.472,wav16k/STT_NS0018_0056_415251_to_421723.wav,ད་གཅིག་གི་ཆ་ནས་ད་ཡང་མོ་ཊ་དེ་ཚོ་འཕྲོ་བརླག་འགྲོ་དེ་འདྲའི་འདྲ་བོ་བྱས་ན་ཡང་ཉེན་ཁ་ཆེན་པོ་འདུག་བ། རེད་རེད་། འོ་དེ་འདྲ་སོང་སོང་ང་རང་འདྲ་བོ་ཡིན་ན་དམིགས་བསལ་གྱི་གནམ་
STT_NS0018_0057_421723_to_428194,གནམ་གྲུ་ནང་འགྲོ་བ་དང་དེ་འདྲས་འདྲ་བོ་བྱེད་གི་ཡོད་ཨ། འོ་རེད་རེད། འགྲོ་བསྐྱོད་བྱེད་ཡ་དེ་འདྲའི་འདྲ་བོ་དགའ་བོ་བྱེད་གི་ཡོད། ཨ་ལེ་ལགས་སོ།  ,gnam gru nang 'gro ba dang de 'dras 'dra bo byed gi yod a/_'o red red/_'gro bskyod byed ya de 'dra'i 'dra bo dga' bo byed gi yod/_a le lags so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0057_421723_to_428194.wav,STT_NS,3,132,6.471,wav16k/STT_NS0018_0057_421723_to_428194.wav,་གྲུ་དང་དེ་འདྲའ་བྱེད་ཀི་ཡོད་ཨ།འ་འགྲུལ་བསྐྱོད་བྱེད་ཡ་དང་དེ་འདྲའི་འདྲ་བོ་དགའ་བོ་བྱེད་ཀི་ཡོད་ཨ་ཅག ཨ་ལེ་ལགས་སོའ
STT_NS0018_0058_428279_to_431687,ཨེ་ནས་ཨ་ཅག་དམིགས་བསལ་གྱིས་ཨ་ཅག་གིས་ཡང་ལྷ་ས་ལ་ཡང་ལས་ཀ་དེ་འདྲས་བྱེད་ཀི་ཡོད་བེ།  ,e nas a cag dmigs bsal gyis a cag gis yang lha sa la yang las ka de 'dras byed ki yod be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0058_428279_to_431687.wav,STT_NS,3,78,3.408,wav16k/STT_NS0018_0058_428279_to_431687.wav,ཨེ་ནས་ཨ་ཅག་དམིགས་བསལ་གྱི་ཨ་ཅག་ཁྱོད་རང་ལྷ་ས་ལ་ཡང་ལས་ཀ་དེ་འདྲའ་བྱེད་ཀི་ཡོད།
STT_NS0018_0059_431839_to_441669,མེད། ང་ཚོ་འདྲ་བོ་ཡིན་ན་ལྷ་ས་དམིགས་བསལ་གྱིས་ལྷ་ས་ལ་ད་ལྟ་ཡིན་ན་ང་ཚོས་ལྷོ་ཕྱོགས་ལ་དེ་འགྲོ་ཡིན་པ་གསུང་ཆོས་འདུག་ཨ། ༧རྒྱལ་བ་རིན་པོ་ཆེའི་གསུང་ཆོས་ཡོད་བ་སོང་ཙང་དེ་ལ་འགྲོ་ཡིན་པ་ཡིན་ནས་ང་ཚོ།  ,med/_nga tsho 'dra bo yin na lha sa dmigs bsal gyis lha sa la da lta yin na nga tshos lho phyogs la de 'gro yin pa gsung chos 'dug a/_7rgyal ba rin po che'i gsung chos yod ba song tsang de la 'gro yin pa yin nas nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0059_431839_to_441669.wav,STT_NS,3,182,9.83,wav16k/STT_NS0018_0059_431839_to_441669.wav,མེད་ང་ཚོ་འདྲ་བོ་ཡིན་ན་ལྷདམིགས་བསལ་གྱི་ལྷ་ས་ལ་ད་ལྟ་ཡིན་ན་ང་ཚོ་ལྷོ་ཕྱོགས་ལ་འདི་འགྲོ་ཡིན་པ་གགསུང་ཆོས་འདུག་བ། ཨུ། རྒྱལ་བ་རིན་པོ་ཆེ་གི་གསུང་ཆོས་ཡོད་པ་སོང་ཙང་དེ་ལ་འགྲོ་ཡིན་པ། ཡིན་ནས་ང་ཚོ།་
STT_NS0018_0060_441669_to_451499,ཕར་ལ་ཡིན་ང་ཚོ་ཞིང་པ་རེད། ད་ཞིང་ལས་བྱེད་ཀི་ཡོད་རེད་ཨ། འོ་བྱས་ནས་ད་ང་ཚོས་ཕར་ལོག་སོང་ན་ཡང་ཞིང་ཁ་བཏབ་ཡ་ཀི་དུས་ཚོད་དེ་རན་གྲབས་འདུག་ཨ། འོ་བྱས་ནས་ད་ཕར་ལོག་འགྲོ་བ་དུས་ཚོད་དེ་རེད།  ,phar la yin nga tsho zhing pa red/_da zhing las byed ki yod red a/_'o byas nas da nga tshos phar log song na yang zhing kha btab ya ki dus tshod de ran grabs 'dug a/_'o byas nas da phar log 'gro ba dus tshod de red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0060_441669_to_451499.wav,STT_NS,3,172,9.83,wav16k/STT_NS0018_0060_441669_to_451499.wav,ཕར་ལ་ཡིན་ན་ང་ཚོ་ཞིང་པ་རེད། ད་ཞིང་ལས་བྱེད་ཀི་ཡོད་རེད་བ། འོ་བྱས་ནས་ད་ང་ཚོ་ཕར་ལོག་སོང་ན་ཡང་ཞིང་ཁ་བཏབ་ཡ་གི་དུས་ཚོད་དེ་རིམ་གྲོ་འདུག་བ།  འོ་བྱས་ནས་ཡ་ད་ཕར་ལོག་འགྲོ་ཡ་དུས་ཚོད་དེ།
STT_NS0018_0065_466770_to_476541,ང་ཚོས་རང་བཞིན་གྱི་ཁོར་ཡུག་འདི་ཚོ་ཨ་ལེ་ལ་བལྟ་སྐོར་བྱེད་ཡ་དང་བརྙན་ཐུང་འདྲ་བོ་བཟོས། ད་ལྟ་ང་ཚོས་ཡུ་གྲོབ་ནང་ལ་བླུག་གི་འདུག་ཨ། མིའི་མང་ཆེ་བ། ཨ་ལེ། དྲྭ་རྒྱ་བླུག་ཡ་དེ་འུ་ ,nga tshos rang bzhin gyi khor yug 'di tsho a le la blta skor byed ya dang brnyan thung 'dra bo bzos/_da lta nga tshos yu grob nang la blug gi 'dug a/_mi'i mang che ba/_a le/_drwa rgya blug ya de 'u _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0065_466770_to_476541.wav,STT_NS,3,163,9.771,wav16k/STT_NS0018_0065_466770_to_476541.wav,ང་རང་ཚོ་རང་བཞིན་གྱི་ད་ཁོར་ཡུག་དེ་ཚོ་ལལྟ་སྐོར་བྱེད་ཡ་དང་བརྙན་ཐུང་འདྲ་བོ་བཟོས། ད་ད་ལྟ་ང་ཚོ་ཡུ་ཋུབ་ནང་བླུག་གི་འདུག་ཨ། སྔོན་མདྲ་རྒྱ་ལ་བླུག་ཡ་དེ།
STT_NS0018_0071_511320_to_513362,ཨ་ལེ་དེ་དུས་ང་རང་འདྲ་བོ་ཡིན་ན་བོད་ལ་ ,a le de dus nga rang 'dra bo yin na bod la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0071_511320_to_513362.wav,STT_NS,3,37,2.042,wav16k/STT_NS0018_0071_511320_to_513362.wav,ཨ་ལེ། དེ་དུས་ང་རང་འདྲ་བོ་ཡིན་ན་བོད་ལ་
STT_NS0018_0072_514476_to_516889,བོད་དེ་ངའི་དམིགས་ཡུལ་གཅིག་ཆགས་བསྡད་ཡོད། འོ་རེད་རེད་རེད།  ,bod de nga'i dmigs yul gcig chags bsdad yod/_'o red red red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0072_514476_to_516889.wav,STT_NS,3,57,2.413,wav16k/STT_NS0018_0072_514476_to_516889.wav,བོད་ཀདེ་ངའི་དམིགས་ཡུལ་གཅིག་ཆགས་བསྡད་ཡོད། ཨོ་རེད་རེད་རེད།
STT_NS0018_0073_516990_to_521395,འོ་དེ་འདྲས་བྱས་ནས་ད་ང་རང་འགྲོ་དགོས་བསམ་གིན་འདུག ཨ་ལེ་ཨེ་ནས་བོད་ལ་སྤུན་ཟླ་འདྲ་བོ་དང་གེ་ཡོད་རྒྱུ་མ་རེད་ར།  ,'o de 'dras byas nas da nga rang 'gro dgos bsam gin 'dug_a le e nas bod la spun zla 'dra bo dang ge yod rgyu ma red ra/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0073_516990_to_521395.wav,STT_NS,3,105,4.405,wav16k/STT_NS0018_0073_516990_to_521395.wav,འོ་དེ་འདྲ་བྱས་ནས་ད་ང་རང་གཉིས་འགྲོ་དགོས་བསམ་སོང་། ཨ་ལེ།ཨེ་ནས་བོད་ལ་སྤུན་རྒྱ་འདྲ་བོ་ད་གེ་ཡོད་རྒྱུ་མ་རེད་རེ།
STT_NS0018_0066_476760_to_484544,དྲྭ་རྒྱ་ལ་བླུག་ཨེ་ནས་དྲྭ་རྒྱ་ལ་སྤེལ། མི་དེ་ཚོ་ལ་སྟོན་ཡ་དེ་འདྲའི། དེ་འདྲའི་དེ་འདྲའི་འདུག་ལ་ནས་ཨ་ལེ་ལེ་ལེ་འདི་ཚོ་ཧང་སངས་བའི་དགའ་བོ་བྱེད་གི་ཡོད་ར་འུ། ཨེ་ནས་དམིགས་བསལ་གྱིས་ང་རང་།  ,drwa rgya la blug e nas drwa rgya la spel/_mi de tsho la ston ya de 'dra'i/_de 'dra'i de 'dra'i 'dug la nas a le le le 'di tsho hang sangs ba'i dga' bo byed gi yod ra 'u/_e nas dmigs bsal gyis nga rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0066_476760_to_484544.wav,STT_NS,3,176,7.784,wav16k/STT_NS0018_0066_476760_to_484544.wav,དྲ་རྒྱ་ནང་བླུགས་ཨ་ནདྲ་རྒྱ་ལ་སྤེལ་ཨ་ནམི་དེ་ཚོ་ལ་བརྟེན་ཡ་དེ་འདྲ་དེ་འདྲ་ད་འདྲ་འདུག་་་ལ་ ད་དེ་ཚོ་ང་ཧང་སང་ཡ་དགའ་བོ་བྱེད་ཀི་ཡོད་་དམིགས་བསལ་གྱི་ང་རང་
STT_NS0018_0074_524601_to_534338,ད་ཨ་ཅག་རང་ལྷ་ས་ལ་ལྷ་ས་ཁོ་རང་བཞུགས་བསྡད་ནི་རེད་པ། ཨུ་འུ་རེད་རེད། ད་དེ་ལ་རོགས་པ་དགོས་ཡོད་ན་ང་ཚོ་ལབ་ཤོག་ཨ། ཨེ་ནས་མགྲོན་ཁང་དེ་ཚོ་གོང་ཆེན་པོ་ཡོད་ན་ཡ་ཨེ་ནས་ང་ཚོ་ལ་ལབ་ན།  ,da a cag rang lha sa la lha sa kho rang bzhugs bsdad ni red pa/_u 'u red red/_da de la rogs pa dgos yod na nga tsho lab shog a/_e nas mgron khang de tsho gong chen po yod na ya e nas nga tsho la lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0074_524601_to_534338.wav,STT_NS,3,164,9.737,wav16k/STT_NS0018_0074_524601_to_534338.wav,ད་ཨ་ཅག་རང་ལྷ་ཆ་ལྷ་ས་ཁོ་རང་ལ་བཞུགས་བསྡད་ངན་རེད་བ། འོ་འོ། རེད་རེད། ད་དེ་ལ་རོགས་པ་འདྲ་བོ་གོན་ན་ང་ཚོ་ལབ་ཤོག་ཨ། ཨེ་ནས་མགྲོན་ཁང་འདྲ་བོ་དེ་ཚོ་གོང་ཆེན་པོ་ཡོད་ན་ཡོད་བ། ད་ཨེ་ནས་ང་ཚོ་ལ་ལབ་
STT_NS0018_0075_534338_to_544075,ཡིན་ན་ཡང་ང་ཚོ་ད་ནང་ད་རྒྱ་གར་ནང་བཞིན་གྲ་རྒྱས་བོ་མཐོ་པོ་ད་ཡོད་ཨ་ཁང་པ་བརྩེགས་བཞག་རྒྱོ་དེ་འདྲ་ད་ཡོད་མ་རེད་བོད་ལ་ཡ།  ,yin na yang nga tsho da nang da rgya gar nang bzhin gra rgyas bo mtho po da yod a khang pa brtsegs bzhag rgyo de 'dra da yod ma red bod la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0075_534338_to_544075.wav,STT_NS,3,112,9.737,wav16k/STT_NS0018_0075_534338_to_544075.wav,ཡིན་ན་ཡད་ང་ཚོ་ད་ནང་དད་རྒྱ་གར་ནང་བཞིན་གྲ་རྒྱས་པོ་མཐོ་བོ། ད་ཡ་ང་ཁང་པ་བརྩིགས་བཞག་རྒྱོ་དེ་འདྲ་ད་ཡོད་མ་རེད། ཡི་ན་བོད་ལ་ཡ།
STT_NS0018_0076_544480_to_547382,ཡིན་ནས་ད་སྡོད་ས་འདྲ་བོ་ཡོད་རེད། ཨེ་ནས་རོགས་པ་འདྲ་བོ་དགོས་ན་ང་ལ་ལབ་ཤོག་ཨ།  ,yin nas da sdod sa 'dra bo yod red/_e nas rogs pa 'dra bo dgos na nga la lab shog a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0076_544480_to_547382.wav,STT_NS,3,74,2.902,wav16k/STT_NS0018_0076_544480_to_547382.wav,ཡིན་ནས་ད་བསྡད་ས་འདྲ་བོ་ཡོད་རེད། ཨེ་ནས་རོགས་པ་འདྲ་བོ་གོས་ན་ང་ལབ་ཤོག་ཨ།
STT_NS0018_0067_484544_to_492328,བརྙན་ཐུང་བཟོས་ནི་ཆུང་ཆུང་ཞིག་ཆགས་བསྡད་ཡོད་ཨ་ཅག། ཨ་ལེ། དཔེ་ཡག་པོ་རེད། རེད་འོ་བྱས་ནས་བོད་ཀྱི་ས་ཆ་དེ་ཚོ་མི་ཙང་མ་ལ་སྟོན་གོ་བསམ་སོང་བས་འུ་ད་བོད་འགྱུར་སོང་། ཡ་ཡ།  ,brnyan thung bzos ni chung chung zhig chags bsdad yod a cag/_a le/_dpe yag po red/_red 'o byas nas bod kyi sa cha de tsho mi tsang ma la ston go bsam song bas 'u da bod 'gyur song /_ya ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0018_0067_484544_to_492328.wav,STT_NS,3,157,7.784,wav16k/STT_NS0018_0067_484544_to_492328.wav,བརྙན་ཐུང་བརྙན་ཐུང་བཟོ་མཁན་ཆུང་ཆུང་བྱེད་ཡ་ཅིག་ཆགས་ཡོད་བ། ཨ་ལེ། དཔེ་ཡག་པོ་རེད། འོ་བྱས་ནས་བོད་ཀྱི་ས་ཆ་དེ་ཚོ་མི་ཚམ་པ་ལ་བརྟེན་དགོས་བསམ་སོང་བེ། ཨད་བོད་ཡ་ཡ།
STT_TT00028_00072.300-00073.400,དེ་ནས་ཨེ་ནས།  ,de nas e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00028_00072.300-00073.400.wav,STT_TT,3,14,1.1000000000000083,wav16k/STT_TT00028_00072.300-00073.400.wav,དེ་ནས་ཨེ་ནས།
